product_id,product_name,Product_Category,Product_Brand,Product_Type,Customer_ID,order_id
10010,Dresser,Home Decor,Home Depot,Furniture,24677,8160382
10011,Dell XPS,Electronics,Apple,Laptop,69088,6353309
10013,Graphic tee,Clothing,Nike,T-shirt,37059,5586678
10015,Casual dress,Clothing,Zara,Dress,58448,8049507
10020,Distilled water,Grocery,Pepsi,Water,34795,5915870
10022,Boyfriend jeans,Clothing,Zara,Jeans,43127,5825693
10032,Latte,Grocery,Nestle,Coffee,71423,7622032
10043,Wireless headphones,Electronics,Sony,Headphones,49858,2576983
10058,Inverter AC,Electronics,Mitsubhisi,Mitsubishi 1.5 Ton 3 Star Split AC,19503,2411588
10063,Slippers,Clothing,Nike,Shoes,18687,1010653
10075,Cranberry juice,Grocery,Coca-Cola,Juice,61694,4133060
10081,Coffee maker,Home Decor,Bed Bath & Beyond,Kitchen,86792,5199185
10090,Classic literature,Books,Random House,Literature,22058,2805567
10092,Drama,Books,Random House,Literature,80804,5690068
10094,Coffee table,Home Decor,IKEA,Furniture,58221,6172821
10096,Classic literature,Books,Random House,Literature,95917,1649042
10116,Low-rise jeans,Clothing,Zara,Jeans,90726,2285798
10143,Bed sheet set,Home Decor,Bed Bath & Beyond,Bedding,28254,2050639
10162,Scoop neck tee,Clothing,Nike,T-shirt,55242,1933983
10168,Ginger ale,Grocery,Coca-Cola,Soft Drink,29660,3501982
10177,Top-freezer refrigerator,Electronics,Whirepool,Fridge,17250,3778210
10180,Chocolate cookies,Grocery,Nestle,Chocolate,49790,2695444
10184,Bed skirt,Home Decor,Bed Bath & Beyond,Bedding,63380,9781297
10186,Spring water,Grocery,Pepsi,Water,80094,8560708
10195,iPhone,Electronics,Apple,Smartphone,12844,6804216
10206,Sink,Home Decor,Bed Bath & Beyond,Bathroom,52057,8757418
10210,Amazon Fire Tablet,Electronics,Samsung,Tablet,66835,9645852
10230,Energy drink,Grocery,Coca-Cola,Soft Drink,36944,4592808
10234,Skorts,Clothing,Nike,Shorts,64474,1812513
10241,iPad,Electronics,Apple,Tablet,50778,5150537
10252,Button-down shirt,Clothing,Zara,Shirt,53583,6102493
10257,Mineral water,Grocery,Pepsi,Water,70043,7177662
10264,Orange juice,Grocery,Coca-Cola,Juice,68856,6582573
10267,Chocolate-covered fruits,Grocery,Nestle,Chocolate,64380,1737459
10272,Sparkling water,Grocery,Pepsi,Water,48007,3532347
10290,French door refrigerator,Electronics,Whirepool,Fridge,89141,1991028
10293,OnePlus,Electronics,Samsung,Smartphone,75419,9857866
10295,Espadrilles,Clothing,Adidas,Shoes,65110,6341148
10303,Biography,Books,HarperCollins,Non-Fiction,77520,3314188
10309,Cola,Grocery,Coca-Cola,Soft Drink,76058,8219340
10334,Curtains,Home Decor,Home Depot,Decorations,81212,2563374
10345,Decorative pillows,Home Decor,Home Depot,Decorations,77340,2880720
10354,Granola bars,Grocery,Nestle,Snacks,12533,2753990
10362,Bed skirt,Home Decor,Bed Bath & Beyond,Bedding,22720,6336461
10366,Sparkling water,Grocery,Pepsi,Water,98640,8787618
10368,Sneakers,Clothing,Nike,Shoes,27792,9194112
10371,Boyfriend jeans,Clothing,Zara,Jeans,50799,6356248
10395,Modern literature,Books,Random House,Literature,14822,9294612
10414,Amazon Fire Tablet,Electronics,Apple,Tablet,54894,1716643
10416,Fit and flare dress,Clothing,Zara,Dress,26977,1003226
10422,Literary fiction,Books,Penguin Books,Fiction,16879,2820305
10435,Energy drink,Grocery,Pepsi,Soft Drink,62907,8998461
10443,Orange juice,Grocery,Coca-Cola,Juice,97422,3996340
10445,Sony Xperia,Electronics,Samsung,Smartphone,83581,2961005
10449,Cappuccino,Grocery,Nestle,Coffee,52905,7857946
10462,Chocolate-covered fruits,Grocery,Nestle,Chocolate,81543,3432281
10468,Sony Xperia,Electronics,Sony,Smartphone,63499,7056187
10487,Blender,Home Decor,Bed Bath & Beyond,Kitchen,28086,6924930
10502,Noise-cancelling headphones,Electronics,Sony,Headphones,40505,7435509
10506,Vases,Home Decor,Home Depot,Decorations,40988,2840981
10527,Pillowcase set,Home Decor,Bed Bath & Beyond,Bedding,51181,5526065
10529,Acer Iconia Tab,Electronics,Apple,Tablet,21998,1181631
10530,LG G,Electronics,Sony,Smartphone,51291,4024907
10532,Sandals,Clothing,Adidas,Shoes,74924,4954244
10544,Cream soda,Grocery,Pepsi,Soft Drink,85105,2164519
10565,Boots,Clothing,Adidas,Shoes,56757,6504002
10567,Blazer,Clothing,Adidas,Jacket,48287,1930697
10580,Dell XPS,Electronics,Apple,Laptop,96222,1960712
10587,Purified water,Grocery,Pepsi,Water,26133,5465545
10597,Artesian water,Grocery,Coca-Cola,Water,50590,9158096
10605,Comforter,Home Decor,Bed Bath & Beyond,Bedding,67906,6697043
10611,Pendant lights,Home Decor,IKEA,Lighting,64988,2600734
10623,Bermuda shorts,Clothing,Nike,Shorts,24367,4389573
10626,Chocolate cookies,Grocery,Nestle,Chocolate,17985,6003168
10632,Sink,Home Decor,Bed Bath & Beyond,Bathroom,13255,5538250
10640,Sony Xperia,Electronics,Sony,Smartphone,93512,3101531
10651,Flannel shirt,Clothing,Zara,Shirt,94529,5264824
10654,Duvet cover,Home Decor,Bed Bath & Beyond,Bedding,45031,9738220
10680,Pomegranate juice,Grocery,Coca-Cola,Juice,62022,1948316
10703,Counter-depth refrigerator,Electronics,Whirepool,Fridge,45985,4774469
10708,Root beer,Grocery,Coca-Cola,Soft Drink,68110,4251656
10715,Flare jeans,Clothing,Zara,Jeans,20857,9788057
10727,Mocha,Grocery,Nestle,Coffee,33788,4440684
10732,Loafers,Clothing,Nike,Shoes,66038,6909000
10739,Apple juice,Grocery,Coca-Cola,Juice,94070,1062196
10745,Energy drink,Grocery,Pepsi,Soft Drink,58172,5590261
10768,Business,Books,Penguin Books,Non-Fiction,39780,8841462
10786,Coconut water,Grocery,Pepsi,Water,16013,6208187
10788,Blazer,Clothing,Adidas,Jacket,83124,9470129
10798,V-neck tee,Clothing,Nike,T-shirt,35961,6781959
10800,Puffer jacket,Clothing,Adidas,Jacket,44185,6422225
10815,Clocks,Home Decor,Home Depot,Decorations,45924,5451626
10840,Fit and flare dress,Clothing,Zara,Dress,69180,4091398
10861,Cranberry juice,Grocery,Coca-Cola,Juice,61173,2111498
10862,Toothbrush holder,Home Decor,Bed Bath & Beyond,Bathroom,76549,1058679
10866,Electric kettle,Home Decor,Bed Bath & Beyond,Kitchen,82938,5869510
10881,Alkaline water,Grocery,Pepsi,Water,26603,5285129
10882,Crew neck tee,Clothing,Adidas,T-shirt,14424,5520540
10898,Orange soda,Grocery,Pepsi,Soft Drink,98117,1459935
10910,Bottled water,Grocery,Pepsi,Water,30544,1756199
10912,Spring water,Grocery,Pepsi,Water,15108,5555066
10914,iPhone,Electronics,Samsung,Smartphone,95339,2034571
10947,Pendant lights,Home Decor,IKEA,Lighting,82877,6037049
10950,Psychology,Books,Penguin Books,Non-Fiction,98683,3600169
10979,Purified water,Grocery,Pepsi,Water,59620,3040043
10994,Cranberry juice,Grocery,Pepsi,Juice,48843,8432926
11014,Oven,Home Decor,Bed Bath & Beyond,Kitchen,11107,3158816
11024,Psychology,Books,Random House,Non-Fiction,36241,5603141
11025,Plush toys,Books,Penguin Books,Children's,50202,9364844
11033,Literary fiction,Books,Random House,Fiction,96490,4023126
11041,Fruit punch,Grocery,Coca-Cola,Soft Drink,97635,5847702
11057,Biography,Books,Penguin Books,Non-Fiction,77711,4654086
11059,Track lighting,Home Decor,IKEA,Lighting,55828,3602467
11072,Chips,Grocery,Nestle,Snacks,33132,5359346
11076,Xiaomi Mi,Electronics,Sony,Smartphone,46228,1836319
11081,French door refrigerator,Electronics,Whirepool,Fridge,47642,4743283
11103,Horror,Books,Penguin Books,Fiction,22982,9252635
11106,Asus ZenBook,Electronics,Apple,Laptop,74799,3528756
11111,Trail mix,Grocery,Nestle,Snacks,81897,9782658
11119,Purified water,Grocery,Pepsi,Water,65782,9346670
11121,Windbreaker,Clothing,Adidas,Jacket,51777,9383290
11124,Recessed lighting,Home Decor,IKEA,Lighting,37383,8444144
11125,Table lamps,Home Decor,IKEA,Lighting,90057,5617981
11133,Crop top,Clothing,Adidas,T-shirt,36397,9358705
11141,Noise-cancelling headphones,Electronics,Sony,Headphones,68914,9735920
11143,Lenovo Tab,Electronics,Samsung,Tablet,31555,4722079
11146,Long-sleeve tee,Clothing,Adidas,T-shirt,31221,2745398
11162,Memoir,Books,Random House,Non-Fiction,58441,9242338
11165,Track lighting,Home Decor,IKEA,Lighting,26466,8451720
11170,Chocolate mousse,Grocery,Nestle,Chocolate,16266,9243658
11174,Vases,Home Decor,Home Depot,Decorations,71130,6501748
11183,Latte,Grocery,Nestle,Coffee,73360,3806145
11194,Adventure,Books,Random House,Fiction,32737,7206016
11201,Crew neck tee,Clothing,Adidas,T-shirt,79862,5364291
11204,Cycling shorts,Clothing,Nike,Shorts,12197,3156966
11213,Microsoft Surface,Electronics,Apple,Tablet,47289,6730678
11234,Side-by-side refrigerator,Electronics,Whirepool,Fridge,70537,9940623
11237,Alkaline water,Grocery,Pepsi,Water,90355,6668565
11240,Inverter AC,Electronics,Mitsubhisi,Mitsubishi 1.5 Ton 3 Star Split AC,58646,4817563
11241,Trench coat,Clothing,Adidas,Jacket,49889,2712553
11243,Straight-leg jeans,Clothing,Zara,Jeans,29140,7277186
11258,On-ear headphones,Electronics,Sony,Headphones,66893,3767002
11259,Plain tee,Clothing,Nike,T-shirt,85904,8837603
11260,Nightstand,Home Decor,IKEA,Furniture,98559,6297205
11280,Mango juice,Grocery,Pepsi,Juice,14538,8848479
11287,Pineapple juice,Grocery,Pepsi,Juice,95491,8955755
11316,DJ headphones,Electronics,Sony,Headphones,39665,1312232
11317,Spring water,Grocery,Pepsi,Water,52936,9273932
11326,Vases,Home Decor,Home Depot,Decorations,72777,4746568
11327,Flavored water,Grocery,Pepsi,Water,74637,5800684
11333,Samsung Galaxy,Electronics,Apple,Smartphone,81456,5627635
11334,LED TV,Electronics,Samsung,Television,15597,5568612
11346,Ceiling lights,Home Decor,IKEA,Lighting,35219,5242993
11352,Sony Xperia,Electronics,Sony,Smartphone,90570,4475395
11367,Rugs,Home Decor,Home Depot,Decorations,18899,1375935
11374,Google Pixel Slate,Electronics,Apple,Tablet,92773,1729664
11393,Mango juice,Grocery,Coca-Cola,Juice,26543,4287974
11402,Microsoft Surface,Electronics,Apple,Tablet,23879,1551057
11405,TV stand,Home Decor,Home Depot,Furniture,97126,7802067
11406,Self-help,Books,Random House,Non-Fiction,60453,1331290
11422,Ginger ale,Grocery,Pepsi,Soft Drink,63806,7399258
11426,Historical fiction,Books,Penguin Books,Fiction,24117,6428251
11450,iPhone,Electronics,Sony,Smartphone,50464,4556352
11452,Khaki shorts,Clothing,Nike,Shorts,76176,7560723
11456,Short stories,Books,Random House,Literature,74294,6519969
11458,Sink,Home Decor,Bed Bath & Beyond,Bathroom,25178,3527486
11459,Toilet paper holder,Home Decor,Bed Bath & Beyond,Bathroom,11420,4934533
11468,Huawei P,Electronics,Apple,Smartphone,48101,7982745
11475,Dystopian,Books,Penguin Books,Fiction,94049,3631910
11478,Running shoes,Clothing,Adidas,Shoes,39286,8411685
11482,Noise-cancelling headphones,Electronics,Sony,Headphones,52028,6066270
11487,Contemporary literature,Books,Random House,Literature,69878,3508355
11496,Crop top,Clothing,Nike,T-shirt,84425,6392397
11500,Raglan tee,Clothing,Nike,T-shirt,95199,5467782
11520,Toys,Books,Penguin Books,Children's,91021,4968945
11541,Running shoes,Clothing,Adidas,Shoes,23155,7426255
11543,Board shorts,Clothing,Nike,Shorts,91666,8121188
11547,Artesian water,Grocery,Pepsi,Water,86837,7538930
11550,Curved TV,Electronics,Samsung,Television,81066,7620170
11558,Sandals,Clothing,Adidas,Shoes,76324,2896454
11562,Casual dress,Clothing,Zara,Dress,20169,2317655
11571,Huawei P,Electronics,Apple,Smartphone,60131,3375229
11578,Shower,Home Decor,Bed Bath & Beyond,Bathroom,64202,4865979
11589,Curtains,Home Decor,IKEA,Decorations,53073,1454031
11598,Bookshelf,Home Decor,Home Depot,Furniture,64833,7265274
11604,Sofa,Home Decor,IKEA,Furniture,11109,3001908
11609,Pomegranate juice,Grocery,Pepsi,Juice,51978,1362064
11624,Horror,Books,Penguin Books,Fiction,85439,5917211
11626,Fantasy,Books,HarperCollins,Fiction,33087,7666360
11627,Cream soda,Grocery,Coca-Cola,Soft Drink,91229,4870911
11630,Sony Xperia,Electronics,Apple,Smartphone,47925,9653713
11636,Sofa,Home Decor,IKEA,Furniture,28820,6720018
11638,Athletic shorts,Clothing,Nike,Shorts,76358,4535157
11639,Android TV,Electronics,Sony,Television,19589,9651508
11642,Tomato juice,Grocery,Coca-Cola,Juice,98683,4780574
11672,Curved TV,Electronics,Samsung,Television,31154,3370607
11675,Grape juice,Grocery,Coca-Cola,Juice,72573,5833472
11677,Running shoes,Clothing,Nike,Shoes,92667,4481403
11686,Wall art,Home Decor,Home Depot,Decorations,43234,8274960
11693,Dystopian,Books,Random House,Fiction,65298,3306616
11694,Travel,Books,HarperCollins,Non-Fiction,26266,5349963
11708,Sweatshirt,Clothing,Zara,Shirt,37516,7959439
11710,Instant coffee,Grocery,Nestle,Coffee,39934,8681278
11713,Boyfriend jeans,Clothing,Zara,Jeans,16196,6651138
11745,Flannel shirt,Clothing,Zara,Shirt,60526,6505720
11748,Stove,Home Decor,Bed Bath & Beyond,Kitchen,93531,1348939
11800,Dress shirt,Clothing,Zara,Shirt,20821,9668055
11801,Portable AC,Electronics,Mitsubhisi,Mitsubishi 1.5 Ton 3 Star Split AC,91524,9432386
11808,Coffee maker,Home Decor,Bed Bath & Beyond,Kitchen,13382,7985893
11823,Clocks,Home Decor,IKEA,Decorations,19995,3908564
11835,Soap dispenser,Home Decor,Bed Bath & Beyond,Bathroom,95191,1171740
11838,Wrap dress,Clothing,Zara,Dress,26481,2296836
11839,Wrap dress,Clothing,Zara,Dress,77725,6699277
11841,Compact refrigerator,Electronics,Whirepool,Fridge,83748,7132803
11858,Romance,Books,Penguin Books,Fiction,12956,7819465
11876,Cola,Grocery,Pepsi,Soft Drink,52554,3292992
11883,Off-the-shoulder tee,Clothing,Nike,T-shirt,14932,1945394
11885,Slippers,Clothing,Adidas,Shoes,18286,5003872
11894,Henley tee,Clothing,Nike,T-shirt,40897,7311430
11909,Grape juice,Grocery,Pepsi,Juice,41814,2493438
11911,Nokia,Electronics,Apple,Smartphone,39477,4548628
11912,Macchiato,Grocery,Nestle,Coffee,81938,6990521
11928,Dystopian,Books,Random House,Fiction,15706,5553633
11936,Dystopian,Books,HarperCollins,Fiction,34042,3201937
11941,LCD TV,Electronics,Sony,Television,89949,7321324
11946,Techno-thriller,Books,HarperCollins,Thriller,10117,1171032
11997,Alkaline water,Grocery,Pepsi,Water,87129,5413923
12006,Sundress,Clothing,Zara,Dress,96916,5122896
12007,History,Books,Random House,Non-Fiction,79288,1209185
12008,Romance,Books,Random House,Fiction,39351,1542091
12014,On-ear headphones,Electronics,Sony,Headphones,59822,5026794
12023,Casual dress,Clothing,Zara,Dress,82386,5985480
12027,Pretzels,Grocery,Nestle,Snacks,73494,4446105
12046,Flip flops,Clothing,Adidas,Shoes,19244,6321420
12055,Memoir,Books,Penguin Books,Non-Fiction,27312,9947359
12057,Cola,Grocery,Coca-Cola,Soft Drink,61344,1691081
12067,Alkaline water,Grocery,Pepsi,Water,12130,5935424
12077,Chocolate fondue,Grocery,Nestle,Chocolate,31875,4356014
12080,Acer Iconia Tab,Electronics,Samsung,Tablet,99316,9468170
12085,Cappuccino,Grocery,Nestle,Coffee,18823,1849105
